,Vehicle ID,Frame Id,Lane Id,LocalY,Mean Speed,Mean Acceleration,Vehicle Length,Vehicle Class Id,Follower Id,Leader Id,LocalY_leader,Mean Speed_leader,Vehicle Length_leader,Driving Regime
8898,36.0,172.0,3.0,86.76487,1.22323,0.02824,7.5599,3.0,50.0,-1.0,,,,F
8899,36.0,173.0,3.0,86.88758,1.2271,0.0387,7.5599,3.0,50.0,-1.0,,,,F
8900,36.0,174.0,3.0,87.01091,1.23329,0.06197,7.5599,3.0,50.0,-1.0,,,,F
8901,36.0,175.0,3.0,87.1353,1.24386,0.10571,7.5599,3.0,50.0,-1.0,,,,F
8902,36.0,176.0,3.0,87.26148,1.26179,0.17924,7.5599,3.0,50.0,-1.0,,,,F
8903,36.0,177.0,3.0,87.39051,1.29033,0.28542,7.5599,3.0,50.0,-1.0,,,,F
8904,36.0,178.0,3.0,87.52363,1.33119,0.40862,7.5599,3.0,50.0,-1.0,,,,F
8905,36.0,179.0,3.0,87.66187,1.38235,0.51161,7.5599,3.0,50.0,-1.0,,,,F
8906,36.0,180.0,3.0,87.80562,1.43754,0.55184,7.5599,3.0,50.0,-1.0,,,,F
8907,36.0,181.0,3.0,87.95447,1.48855,0.51012,7.5599,3.0,50.0,-1.0,,,,F
8908,36.0,182.0,3.0,88.10739,1.52914,0.40595,7.5599,3.0,50.0,-1.0,,,,F
8909,36.0,183.0,3.0,88.26313,1.55742,0.28277,7.5599,3.0,50.0,-1.0,,,,F
8910,36.0,184.0,3.0,88.42065,1.57522,0.17796,7.5599,3.0,50.0,-1.0,,,,F
8911,36.0,185.0,3.0,88.57923,1.58579,0.10571,7.5599,3.0,50.0,-1.0,,,,F
8912,36.0,186.0,3.0,88.73843,1.59194,0.0615,7.5599,3.0,50.0,-1.0,,,,F
8913,36.0,187.0,3.0,88.89797,1.59547,0.03527,7.5599,3.0,50.0,-1.0,,,,F
8914,36.0,188.0,3.0,89.05771,1.5974,0.01935,7.5599,3.0,50.0,-1.0,,,,F
8915,36.0,189.0,3.0,89.21754,1.59832,0.00922,7.5599,3.0,50.0,-1.0,,,,F
8916,36.0,190.0,3.0,89.3774,1.59852,0.00193,7.5599,3.0,50.0,-1.0,,,,F
8917,36.0,191.0,3.0,89.5372,1.59803,-0.00483,7.5599,3.0,50.0,-1.0,,,,F
8918,36.0,192.0,3.0,89.69687,1.5967,-0.01329,7.5599,3.0,50.0,-1.0,,,,F
8919,36.0,193.0,3.0,89.85628,1.59408,-0.02624,7.5599,3.0,50.0,-1.0,,,,F
8920,36.0,194.0,3.0,90.01521,1.58931,-0.04771,7.5599,3.0,50.0,-1.0,,,,F
8921,36.0,195.0,3.0,90.1733,1.58091,-0.08395,7.5599,3.0,50.0,-1.0,,,,F
8922,36.0,196.0,3.0,90.32996,1.56663,-0.14281,7.5599,3.0,50.0,-1.0,,,,F
8923,36.0,197.0,3.0,90.48435,1.54388,-0.22757,7.5599,3.0,50.0,-1.0,,,,F
8924,36.0,198.0,3.0,90.63547,1.51123,-0.32648,7.5599,3.0,50.0,-1.0,,,,F
8925,36.0,199.0,3.0,90.7825,1.47027,-0.40957,7.5599,3.0,50.0,-1.0,,,,F
8926,36.0,200.0,3.0,90.9251,1.42603,-0.44237,7.5599,3.0,50.0,-1.0,,,,F
8927,36.0,201.0,3.0,91.06361,1.38507,-0.40958,7.5599,3.0,50.0,-1.0,,,,F
8928,36.0,202.0,3.0,91.19885,1.35238,-0.32696,7.5599,3.0,50.0,-1.0,,,,F
8929,36.0,203.0,3.0,91.3318,1.32952,-0.22856,7.5599,3.0,50.0,-1.0,,,,F
8930,36.0,204.0,3.0,91.46332,1.31517,-0.1435,7.5599,3.0,50.0,-1.0,,,,F
8931,36.0,205.0,3.0,91.594,1.3068,-0.08378,7.5599,3.0,50.0,-1.0,,,,F
8932,36.0,206.0,3.0,91.7242,1.30206,-0.04739,7.5599,3.0,50.0,-1.0,,,,F
8933,36.0,207.0,3.0,91.85414,1.29938,-0.02676,7.5599,3.0,50.0,-1.0,,,,F
8934,36.0,208.0,3.0,91.98393,1.2979,-0.01482,7.5599,3.0,50.0,-1.0,,,,F
8935,36.0,209.0,3.0,92.11365,1.29718,-0.00716,7.5599,3.0,50.0,-1.0,,,,F
8936,36.0,210.0,3.0,92.24335,1.29705,-0.00137,7.5599,3.0,50.0,-1.0,,,,F
8937,36.0,211.0,3.0,92.3731,1.29748,0.00435,7.5599,3.0,50.0,-1.0,,,,F
8938,36.0,212.0,3.0,92.50297,1.29869,0.01203,7.5599,3.0,50.0,-1.0,,,,F
8939,36.0,213.0,3.0,92.63308,1.3011,0.02417,7.5599,3.0,50.0,-1.0,,,,F
8940,36.0,214.0,3.0,92.76363,1.3055,0.04397,7.5599,3.0,50.0,-1.0,,,,F
8941,36.0,215.0,3.0,92.89495,1.31319,0.07686,7.5599,3.0,50.0,-1.0,,,,F
8942,36.0,216.0,3.0,93.02757,1.32623,0.13042,7.5599,3.0,50.0,-1.0,,,,F
8943,36.0,217.0,3.0,93.16226,1.34684,0.20613,7.5599,3.0,50.0,-1.0,,,,F
8944,36.0,218.0,3.0,93.29985,1.37593,0.29094,7.5599,3.0,50.0,-1.0,,,,F
8945,36.0,219.0,3.0,93.44111,1.41256,0.3663,7.5599,3.0,50.0,-1.0,,,,F
8946,36.0,220.0,3.0,93.5866,1.45492,0.42352,7.5599,3.0,50.0,-1.0,,,,F
8947,36.0,221.0,3.0,93.73668,1.50079,0.45878,7.5599,3.0,50.0,-1.0,,,,F
8948,36.0,222.0,3.0,93.89135,1.54677,0.45972,7.5599,3.0,50.0,-1.0,,,,F
8949,36.0,223.0,3.0,94.05016,1.58803,0.41262,7.5599,3.0,50.0,-1.0,,,,F
8950,36.0,224.0,3.0,94.2122,1.6204,0.32372,7.5599,3.0,50.0,-1.0,,,,F
8951,36.0,225.0,3.0,94.37647,1.64268,0.22279,7.5599,3.0,50.0,-1.0,,,,F
8952,36.0,226.0,3.0,94.54213,1.65661,0.13935,7.5599,3.0,50.0,-1.0,,,,F
8953,36.0,227.0,3.0,94.70861,1.66487,0.08251,7.5599,3.0,50.0,-1.0,,,,F
8954,36.0,228.0,3.0,94.87556,1.66951,0.04648,7.5599,3.0,50.0,-1.0,,,,F
8955,36.0,229.0,3.0,95.04275,1.67185,0.02337,7.5599,3.0,50.0,-1.0,,,,F
8956,36.0,230.0,3.0,95.21001,1.67256,0.0071,7.5599,3.0,50.0,-1.0,,,,F
8957,36.0,231.0,3.0,95.37719,1.67185,-0.00713,7.5599,3.0,50.0,-1.0,,,,F
8958,36.0,232.0,3.0,95.54414,1.66947,-0.02382,7.5599,3.0,50.0,-1.0,,,,F
8959,36.0,233.0,3.0,95.7106,1.66465,-0.04814,7.5599,3.0,50.0,-1.0,,,,F
8960,36.0,234.0,3.0,95.87619,1.65589,-0.08763,7.5599,3.0,50.0,-1.0,,,,F
8961,36.0,235.0,3.0,96.04024,1.64046,-0.15427,7.5599,3.0,50.0,-1.0,,,,F
8962,36.0,236.0,3.0,96.20166,1.61419,-0.26273,7.5599,3.0,50.0,-1.0,,,,F
8963,36.0,237.0,3.0,96.35889,1.57235,-0.41833,7.5599,3.0,50.0,-1.0,,,,D
8964,36.0,238.0,3.0,96.51014,1.51248,-0.59878,7.5599,3.0,50.0,-1.0,,,,D
8965,36.0,239.0,3.0,96.65389,1.43754,-0.74936,7.5599,3.0,50.0,-1.0,,,,D
8966,36.0,240.0,3.0,96.78956,1.35672,-0.80824,7.5599,3.0,50.0,-1.0,,,,D
8967,36.0,241.0,3.0,96.91775,1.28188,-0.74836,7.5599,3.0,50.0,-1.0,,,,D
8968,36.0,242.0,3.0,97.03996,1.22211,-0.59773,7.5599,3.0,50.0,-1.0,,,,D
8969,36.0,243.0,3.0,97.15799,1.1803,-0.41809,7.5599,3.0,50.0,-1.0,,,,F
8970,36.0,244.0,3.0,97.27339,1.15395,-0.26346,7.5599,3.0,50.0,-1.0,,,,F
8971,36.0,245.0,3.0,97.38723,1.13839,-0.1556,7.5599,3.0,50.0,-1.0,,,,F
8972,36.0,246.0,3.0,97.50017,1.12945,-0.08946,7.5599,3.0,50.0,-1.0,,,,F
8973,36.0,247.0,3.0,97.61261,1.12434,-0.05105,7.5599,3.0,50.0,-1.0,,,,F
8974,36.0,248.0,3.0,97.72475,1.12146,-0.02882,7.5599,3.0,50.0,-1.0,,,,F
8975,36.0,249.0,3.0,97.83674,1.11986,-0.01597,7.5599,3.0,50.0,-1.0,,,,F
8976,36.0,250.0,3.0,97.94864,1.11896,-0.009,7.5599,3.0,50.0,-1.0,,,,F
8977,36.0,251.0,3.0,98.06048,1.11841,-0.00552,7.5599,3.0,50.0,-1.0,,,,F
8978,36.0,252.0,3.0,98.17228,1.11805,-0.00361,7.5599,3.0,50.0,-1.0,,,,F
8979,36.0,253.0,3.0,98.28406,1.11781,-0.0024,7.5599,3.0,50.0,-1.0,,,,F
8980,36.0,254.0,3.0,98.39582,1.11763,-0.0018,7.5599,3.0,50.0,-1.0,,,,F
8981,36.0,255.0,3.0,98.50757,1.1175,-0.00127,7.5599,3.0,50.0,-1.0,,,,F
8982,36.0,256.0,3.0,98.61932,1.11746,-0.00039,7.5599,3.0,50.0,-1.0,,,,F
8983,36.0,257.0,3.0,98.73107,1.11748,0.00017,7.5599,3.0,50.0,-1.0,,,,F
8984,36.0,258.0,3.0,98.84281,1.11743,-0.00047,7.5599,3.0,50.0,-1.0,,,,F
8985,36.0,259.0,3.0,98.95453,1.11721,-0.00223,7.5599,3.0,50.0,-1.0,,,,F
8986,36.0,260.0,3.0,99.06621,1.11674,-0.00471,7.5599,3.0,50.0,-1.0,,,,F
8987,36.0,261.0,3.0,99.1778,1.11588,-0.00857,7.5599,3.0,50.0,-1.0,,,,F
8988,36.0,262.0,3.0,99.28923,1.11433,-0.01552,7.5599,3.0,50.0,-1.0,,,,F
8989,36.0,263.0,3.0,99.40039,1.11158,-0.02748,7.5599,3.0,50.0,-1.0,,,,F
8990,36.0,264.0,3.0,99.51107,1.10686,-0.04718,7.5599,3.0,50.0,-1.0,,,,F
8991,36.0,265.0,3.0,99.62096,1.09888,-0.07983,7.5599,3.0,50.0,-1.0,,,,F
8992,36.0,266.0,3.0,99.72957,1.08607,-0.12809,7.5599,3.0,50.0,-1.0,,,,F
8993,36.0,267.0,3.0,99.8364,1.06836,-0.17714,7.5599,3.0,50.0,-1.0,,,,F
8994,36.0,268.0,3.0,99.94138,1.04971,-0.18647,7.5599,3.0,50.0,-1.0,,,,F
8995,36.0,269.0,3.0,100.04523,1.03851,-0.11203,7.5599,3.0,50.0,-1.0,,,,F
